# x_m,y_m,w_tr_right_m,w_tr_left_m
187.9670809668023,3.434709331020713,5.0,5.0
191.96613796218298,3.5214127730578184,5.0,5.0
195.96507967740763,3.613396404311061,5.0,5.0
199.96365474630147,3.718934972770512,5.0,5.0
203.96169918053783,3.8439807631075382,5.0,5.0
207.95963444572408,3.9723230777308345,5.0,5.0
211.95714674831834,4.113159781321883,5.0,5.0
215.95092120126355,4.335815531201661,5.0,5.0
219.9430829633493,4.585577325895429,5.0,5.0
223.9313696968602,4.889271089807153,5.0,5.0
227.91201678139623,5.279860056005418,5.0,5.0
231.88173853314947,5.769662622362375,5.0,5.0
235.84180763422046,6.333386671729386,5.0,5.0
239.79457091877703,6.946270137093961,5.0,5.0
243.74514764442574,7.5729670925065875,5.0,5.0
247.68492040678393,8.264344136230648,5.0,5.0
251.61281199508812,9.020148115232587,5.0,5.0
255.51753993576858,9.887267689220607,5.0,5.0
259.4128068257123,10.796593713574111,5.0,5.0
263.28759032068774,11.789387510158122,5.0,5.0
267.1495758733945,12.830160222016275,5.0,5.0
270.9811060205102,13.978381298482418,5.0,5.0
274.7941938935546,15.186577133834362,5.0,5.0
278.5902778074378,16.447317444719374,5.0,5.0
282.37523654766846,17.741140292957425,5.0,5.0
286.1406553889392,19.090578524395823,5.0,5.0
289.8833617767086,20.50173123832792,5.0,5.0
293.60041909629945,21.979204257018864,5.0,5.0
297.27347932965495,23.56252271682024,5.0,5.0
300.92053854779806,25.205188954249024,5.0,5.0
304.5425641745096,26.902432373724878,5.0,5.0
308.14271118328907,28.645583104342222,5.0,5.0
311.724763652659,30.425623646005988,5.0,5.0
315.2800200752681,32.25865000113845,5.0,5.0
318.8016118896194,34.15535899903625,5.0,5.0
322.2987423604354,36.09699100907892,5.0,5.0
325.7674817739753,38.08889875840396,5.0,5.0
329.2136485078372,40.11953964922577,5.0,5.0
332.63351998105645,42.194151632487774,5.0,5.0
336.01992284250446,44.32296991813928,5.0,5.0
339.3677563890815,46.511963702738285,5.0,5.0
342.6816691868007,48.751915166154504,5.0,5.0
345.9660851546796,51.03496757149696,5.0,5.0
349.21151093929075,53.37308189552277,5.0,5.0
352.42312030959874,55.75745408143848,5.0,5.0
355.6060332090128,58.17997735179961,5.0,5.0
358.7566076947842,60.644417696632445,5.0,5.0
361.8581798740197,63.17026741337031,5.0,5.0
364.91262708057184,65.75291706621647,5.0,5.0
367.9182772770291,68.39210911467671,5.0,5.0
370.8874848173,71.07226773258299,5.0,5.0
373.81397963059135,73.79906345997006,5.0,5.0
376.6997382135596,76.56887915823609,5.0,5.0
379.55397362739313,79.37119974382222,5.0,5.0
382.3612936788704,82.22050333674997,5.0,5.0
385.12916986236814,85.10813113022596,5.0,5.0
387.8576215938665,88.03310422971845,5.0,5.0
390.5304797090357,91.00889876298606,5.0,5.0
393.1720299840672,94.01251984760165,5.0,5.0
395.78927716601174,97.03738878760487,5.0,5.0
398.35278907383326,100.10781870223582,5.0,5.0
400.86218544445,103.22268333379179,5.0,5.0
403.32022963266354,106.37826706282794,5.0,5.0
405.74145228334237,109.56217874214053,5.0,5.0
408.1002159327036,112.79248028155416,5.0,5.0
410.37802634888794,116.08046483434737,5.0,5.0
412.6201865754556,119.39293319359422,5.0,5.0
414.8436109115137,122.71803870331496,5.0,5.0
417.00688607408665,126.08245476987213,5.0,5.0
419.0985575137893,129.49177358672023,5.0,5.0
421.1426811484853,132.93002219498158,5.0,5.0
423.12363240343984,136.40499962959439,5.0,5.0
425.06959692039527,139.89962094463408,5.0,5.0
426.93878865847364,143.4359908811748,5.0,5.0
428.7636460181093,146.99539312906563,5.0,5.0
430.5429078929592,150.5778099866584,5.0,5.0
432.2698562433943,154.18576331436634,5.0,5.0
433.9548618706176,157.81348980311304,5.0,5.0
435.5465712904697,161.4829399874434,5.0,5.0
437.08264677692205,165.176225990057,5.0,5.0
438.5725377595518,168.8883747458458,5.0,5.0
440.05233290733304,172.6045811055228,5.0,5.0
441.4642833432881,176.34676356893033,5.0,5.0
442.7928421846591,180.11958725284785,5.0,5.0
444.04660715337377,183.91797453537583,5.0,5.0
445.26506904081907,187.7278370829299,5.0,5.0
446.42590630368795,191.55561929848045,5.0,5.0
447.4947320477804,195.410053672269,5.0,5.0
448.51421323022805,199.27791071590036,5.0,5.0
449.4822879275307,203.15892479289323,5.0,5.0
450.386384854326,207.05536658782512,5.0,5.0
451.208705080091,210.96978809125721,5.0,5.0
451.9292324957205,214.90426573250443,5.0,5.0
452.5474139613798,218.85619037877768,5.0,5.0
453.1175872561289,222.8153073657304,5.0,5.0
453.6126501931576,226.7845526272431,5.0,5.0
454.0505787715083,230.76037351880223,5.0,5.0
454.43915929459035,234.74141758028418,5.0,5.0
454.7694842640776,238.72769573424011,5.0,5.0
455.06076927203685,242.7170724477619,5.0,5.0
455.2801727342885,246.71087122987956,5.0,5.0
455.4480007168604,250.70734835788608,5.0,5.0
455.5711960985791,254.70538578368723,5.0,5.0
455.6438286367338,258.7045664899051,5.0,5.0
455.6825899454998,262.70437395200133,5.0,5.0
455.68026485538576,266.7041669469327,5.0,5.0
455.63067279348616,270.70385552663356,5.0,5.0
455.55999404459726,274.7032303614542,5.0,5.0
455.4893318010727,278.70260554365814,5.0,5.0
