# x_m,y_m,w_tr_right_m,w_tr_left_m
-30.57349152409006,-42.01249452866614,0.4,0.4
-31.1079431445105,-42.8807511581108,0.4,0.4
-31.641500123078004,-43.75009780097753,0.4,0.4
-32.17418768524658,-44.619424642995,0.4,0.4
-32.69618866266683,-45.49961248319596,0.4,0.4
-33.21816454036161,-46.38091010041535,0.4,0.4
-33.74016576237045,-47.26109786238521,0.4,0.4
-34.262167104519904,-48.141285583376884,0.4,0.4
-34.78327380481642,-49.02256332337856,0.4,0.4
-35.298167731729336,-49.90925178397447,0.4,0.4
-35.80771842668764,-50.801370727829635,0.4,0.4
-36.3181387828663,-51.69350939337164,0.4,0.4
-36.827664497774094,-52.58673807885498,0.4,0.4
-37.33721555350348,-53.47885691002011,0.4,0.4
-37.84587196749635,-54.37206575926393,0.4,0.4
-38.34299747005571,-55.275006039999425,0.4,0.4
-38.84009787265677,-56.179056101478636,0.4,0.4
-39.33809315855615,-57.08201607130468,0.4,0.4
-39.83519379841164,-57.98606606014073,0.4,0.4
-40.332319778739475,-58.88900619838387,0.4,0.4
-40.82231299846899,-59.7995569370687,0.4,0.4
-41.30788296391256,-60.713338293135166,0.4,0.4
-41.79255828319583,-61.62820967193693,0.4,0.4
-42.27723372261971,-62.54308101441711,0.4,0.4
-42.76193449879065,-63.45684250630438,0.4,0.4
-43.24571541091427,-64.37280383892357,0.4,0.4
-43.71796540520154,-65.29849661234766,0.4,0.4
-44.19021551520564,-66.22418935410678,0.4,0.4
-44.6624909612583,-67.14877224620432,0.4,0.4
-45.1356108476175,-68.07448467984796,0.4,0.4
-45.60788652813062,-68.99906750395894,0.4,0.4
-46.07215989835095,-69.93124118074775,0.4,0.4
-46.5319847894134,-70.86775529757142,0.4,0.4
-46.99096547055524,-71.80313980486244,0.4,0.4
-47.45081581012346,-72.73854404035956,0.4,0.4
-47.91064104705583,-73.675058061257,0.4,0.4
-48.36872731114272,-74.61153253354132,0.4,0.4
-48.815282644936815,-75.55773845966905,0.4,0.4
-49.261838094564155,-76.50394435413182,0.4,0.4
-49.70839365781285,-77.45015021879226,0.4,0.4
-50.15494933258742,-78.39635605271906,0.4,0.4
-50.60153034166433,-79.34145204070956,0.4,0.4
-51.0401090325322,-80.29413888975978,0.4,0.4
-51.474264456075616,-81.25005636457354,0.4,0.4
-51.907550447038375,-82.20595405250788,0.4,0.4
-52.34170609561261,-83.1618714723736,0.4,0.4
-52.774992310325615,-84.11776910163462,0.4,0.4
-53.20648911013268,-85.07584682200104,0.4,0.4
-53.62737495149486,-86.04145613126457,0.4,0.4
-54.04826090321876,-87.0070654116571,0.4,0.4
-54.46827741980087,-87.97265490703285,0.4,0.4
-54.88916359143332,-88.93826413433999,0.4,0.4
-55.31004987342749,-89.90387333370745,0.4,0.4
-55.72124517324846,-90.87481424957514,0.4,0.4
-56.128861526958644,-91.8501153755933,0.4,0.4
-56.53647798788734,-92.82541647553444,0.4,0.4
-56.94325022981502,-93.79958797432482,0.4,0.4
-57.350866907974705,-94.77488902304322,0.4,0.4
-57.755849838024005,-95.75124058872461,0.4,0.4
-58.149352250038646,-96.7351039936766,0.4,0.4
-58.54372431489173,-97.71898713335395,0.4,0.4
-58.93722693854943,-98.70285048987716,0.4,0.4
-59.331573998439126,-99.68784339725971,0.4,0.4
-59.72507683397271,-100.67170670535415,0.4,0.4
-60.10975822026376,-101.66092149820179,0.4,0.4
-60.489991107955575,-102.65447674505413,0.4,0.4
-60.871118862880394,-103.64694191142917,0.4,0.4
-61.251377176027745,-104.63938729744405,0.4,0.4
-61.631635590456426,-105.63183265831321,0.4,0.4
-62.00923503516242,-106.62643835972995,0.4,0.4
