# x_m,y_m,w_tr_right_m,w_tr_left_m
565168.0371673232,4405015.3139588265,5.0,5.0
565168.0577539724,4405014.203283687,5.0,5.0
565168.0783418259,4405013.092604131,5.0,5.0
565168.098930904,4405011.981920104,5.0,5.0
565168.1195212234,4405010.871231543,5.0,5.0
565168.1401128019,4405009.760538393,5.0,5.0
565168.1607056621,4405008.649840591,5.0,5.0
565168.1812998229,4405007.539138078,5.0,5.0
565168.2018953011,4405006.428430793,5.0,5.0
565168.2216359345,4405005.317711326,5.0,5.0
565168.2422341156,4405004.2069943,5.0,5.0
565168.2628243151,4405003.097380115,5.0,5.0
565168.2834252887,4405001.986653075,5.0,5.0
565168.3040276904,4405000.875920927,5.0,5.0
565168.3246315416,4404999.76518361,5.0,5.0
565168.34523687,4404998.6544410465,5.0,5.0
565168.3658436969,4404997.543693166,5.0,5.0
565168.386452048,4404996.4329398945,5.0,5.0
565168.407061948,4404995.322181155,5.0,5.0
565168.4276734248,4404994.211416871,5.0,5.0
565168.4474303185,4404993.100639575,5.0,5.0
565168.4680450291,4404991.989863961,5.0,5.0
565168.4886613991,4404990.879082561,5.0,5.0
565168.509270132,4404989.7694029575,5.0,5.0
565168.5298899082,4404988.658609721,5.0,5.0
565168.5505114319,4404987.547810443,5.0,5.0
565168.5711347356,4404986.437005033,5.0,5.0
565168.5917598495,4404985.326193402,5.0,5.0
565168.6123868049,4404984.215375454,5.0,5.0
565168.6330156386,4404983.104551099,5.0,5.0
565168.653646385,4404981.993720239,5.0,5.0
565168.6734228935,4404980.882875331,5.0,5.0
565168.6940575704,4404979.772031152,5.0,5.0
565168.7146942674,4404978.661180166,5.0,5.0
565168.7353330222,4404977.5503222635,5.0,5.0
565168.7559646021,4404976.440564848,5.0,5.0
565168.7766075998,4404975.329692778,5.0,5.0
565168.7972527782,4404974.218813464,5.0,5.0
565168.8179001772,4404973.107926791,5.0,5.0
565168.838549847,4404971.997032641,5.0,5.0
565168.8592018278,4404970.8861308945,5.0,5.0
565168.8789999912,4404969.775213926,5.0,5.0
565168.8996567387,4404968.664296609,5.0,5.0
565168.920315941,4404967.553371318,5.0,5.0
565168.9409776493,4404966.442437922,5.0,5.0
565168.9616419147,4404965.331496287,5.0,5.0
565168.9823087929,4404964.220546275,5.0,5.0
565169.0029691238,4404963.1106950715,5.0,5.0
565169.023641396,4404961.999727867,5.0,5.0
565169.0443164514,4404960.888751856,5.0,5.0
565169.0649943468,4404959.777766886,5.0,5.0
565169.0856751468,4404958.666772803,5.0,5.0
565169.1055027454,4404957.555761872,5.0,5.0
565169.1261895457,4404956.444749081,5.0,5.0
565169.1468794442,4404955.333726692,5.0,5.0
565169.1675725132,4404954.222694539,5.0,5.0
565169.188268825,4404953.111652447,5.0,5.0
565169.2089684517,4404952.000600237,5.0,5.0
565169.229671468,4404950.88953773,5.0,5.0
565169.2503688204,4404949.779571857,5.0,5.0
565169.2710788681,4404948.66848817,5.0,5.0
565169.2917925521,4404947.557393614,5.0,5.0
565169.3125099568,4404946.446287985,5.0,5.0
565169.3323750264,4404945.335163402,5.0,5.0
565169.3531001471,4404944.2240349995,5.0,5.0
565169.3738292705,4404943.112894895,5.0,5.0
565169.3945624913,4404942.001742863,5.0,5.0
565169.4152999094,4404940.890578683,5.0,5.0
565169.4360416314,4404939.779402114,5.0,5.0
565169.4567877671,4404938.668212926,5.0,5.0
565169.4775384265,4404937.5570108695,5.0,5.0
565169.4982846859,4404936.446902578,5.0,5.0
565169.5190447555,4404935.3356740065,5.0,5.0
565169.5389535849,4404934.224424008,5.0,5.0
565169.5597235549,4404933.113167869,5.0,5.0
565169.5804986731,4404932.001897539,5.0,5.0
565169.601279075,4404930.89061273,5.0,5.0
