# x_m,y_m,w_tr_right_m,w_tr_left_m
680930.2316126694,4286878.614247961,0.4,0.4
680929.7416194497,4286877.703697222,0.4,0.4
680929.2560494842,4286876.789915866,0.4,0.4
680928.771374165,4286875.875044487,0.4,0.4
680928.2866987255,4286874.960173145,0.4,0.4
680927.8019979494,4286874.046411653,0.4,0.4
680927.3182170372,4286873.13045032,0.4,0.4
680926.845967043,4286872.204757547,0.4,0.4
680926.373716933,4286871.279064805,0.4,0.4
680925.9014414869,4286870.354481913,0.4,0.4
680925.4283216005,4286869.4287694795,0.4,0.4
680924.95604592,4286868.504186655,0.4,0.4
680924.4917725498,4286867.572012979,0.4,0.4
680924.0319476587,4286866.635498862,0.4,0.4
680923.5729669776,4286865.7001143545,0.4,0.4
680923.113116638,4286864.764710119,0.4,0.4
680922.6532914011,4286863.828196098,0.4,0.4
680922.195205137,4286862.891721626,0.4,0.4
680921.7486498032,4286861.9455157,0.4,0.4
680921.3020943536,4286860.999309805,0.4,0.4
680920.8555387903,4286860.053103941,0.4,0.4
680920.4089831156,4286859.106898107,0.4,0.4
680919.9624021065,4286858.161802119,0.4,0.4
680919.5238234156,4286857.20911527,0.4,0.4
680919.0896679921,4286856.253197795,0.4,0.4
680918.6563820011,4286855.297300107,0.4,0.4
680918.2222263525,4286854.341382687,0.4,0.4
680917.7889401378,4286853.385485058,0.4,0.4
680917.357443338,4286852.427407337,0.4,0.4
680916.9365574967,4286851.461798028,0.4,0.4
680916.5156715449,4286850.496188748,0.4,0.4
680916.0956550284,4286849.530599252,0.4,0.4
680915.6747688567,4286848.564990025,0.4,0.4
680915.2538825747,4286847.599380826,0.4,0.4
680914.8426872749,4286846.62843991,0.4,0.4
680914.4350709212,4286845.653138784,0.4,0.4
680914.0274544603,4286844.677837684,0.4,0.4
680913.6206822183,4286843.703666185,0.4,0.4
680913.2130655402,4286842.728365136,0.4,0.4
680912.8080826101,4286841.752013571,0.4,0.4
680912.4145801981,4286840.768150166,0.4,0.4
680912.0202081333,4286839.784267026,0.4,0.4
680911.6267055096,4286838.8004036695,0.4,0.4
680911.2323584497,4286837.815410762,0.4,0.4
680910.8388556142,4286836.831547454,0.4,0.4
680910.4541742279,4286835.842332661,0.4,0.4
680910.0739413402,4286834.848777414,0.4,0.4
680909.6928135853,4286833.856312248,0.4,0.4
680909.3125552721,4286832.863866862,0.4,0.4
680908.9322968577,4286831.871421501,0.4,0.4
680908.554697413,4286830.8768158,0.4,0.4
680908.187683739,4286829.87578831,0.4,0.4
680907.8206699624,4286828.87476084,0.4,0.4
680907.4545508495,4286827.872643332,0.4,0.4
680907.0875368703,4286826.871615908,0.4,0.4
680906.7205227898,4286825.870588503,0.4,0.4
680906.36319972,4286824.864229366,0.4,0.4
